Sentence,Sentiment
Sabiha Gökçen'de yıllardır 3G hizmetinizin doğru düzgün çalışmadığının farkında mısınız? Turkcell,olumsuz
An itibariyle 18 yıllık Turkcell maceramıza da son verdik. Hadi hayırlısı. #vodafone,olumsuz
Turkcell'in Şebnem Ferah'ın şarkı söylediği reklamını gördükçe geçen yılki yaz konserlerini hatırlıyorum..,notr
@TurkcellHizmet Uskupteyim ve Turkcell Hattim Calismiyor Bosuna mi Verrcegim 14.90? Acil Su Hatti Acin.Kaldim Yabanci Memlekette.!,olumsuz
turkcell otomatik operatöre  iyi günler dileyerek telefonu kapatan da bir benimdir sanırım...,notr
milleti sevgilisi arayıp uyandırır beni turkcell ne kadan mittis,olumsuz
14 SubatIn benim iCin anlam ve Onemi turkcell in verdiGi 14gb internet hediyesi |10#14SubatmISiyiiSrIfkI,olumlu
Turkcell bana bedava internet vermiyor neymiş efendim 4.5G olacakmış aramızda 0.5 in hesabı mı olur aşk olsun,olumsuz
Turkcell hediye verince Bip liler kervanına bende katıldım,olumlu
"Turkcell Hisseleri Neden % 9,7 Düştü?   #turkinternetcom",olumsuz
https://www.facebook.com/photo.php?fbid=10203692156598753&set=a.10203692155638729.1073742146.1062581098&type=1&theater …  Turkcell'den çok Migros ilgilendi ve yardımcı olmaya çalıştı. TEŞEKKÜRLER MİGROS...,olumsuz
İki gün sonra Turkcell'le bağlan hayataaa :),olumlu
@VodafoneDestek boşversene ya detaylı bilgi detaysız bilgi fos sunuz başka bir şey demiyorum. Turkcell belki sizden pahalı tarifeler veriyor,notr
"mesajlastigim herkes turkcell olsa da her ay sms paketini her yone yapicam diye dusunuyorum, unutup pisman oluyorum sonra onu da unutuyorum.",olumlu
bu turkcell full sOmUrU,olumsuz
Hediye internet veren Turkcell seviyorum lan seni :D,olumlu
turkcell'in neti çok kazik yahuu,olumsuz
Turkcell reklaminda 'meyılll' diye telafuz edenleri ne yapcaz..,notr
turkcell tiviplus bugUn gOzUmden dUStU. mUSteri hizmetleri tam 5 kez baSka birime aktardI beni.,olumsuz
@birxxalem evet dostum turkcell in hissedarIyIm ben @barisozer1907 @1907_hadi @jpargoo4,olumlu
Turkcell Müzik'te 'Ed Sheeran-Bloodstream şarkısını dinliyorum. Sen de dinlemek istersen; http://trcll.im/viEhU,olumlu
turkcell eskiden mesaj atiyodu simdi ariyo yakinda kapiyada dayanir amk,olumsuz
ama kopuktu kopuktu zincir olduramadımmm.. bu turkcell reklamını seviyorummm,olumlu
fenerbahçe galatasaray basketbol derbisinde turkcell lte broadcast ile ilgili özel röportaj... https://t.co/puttyjjkgw,olumlu
"Vodafone Turkcell'e çaktı, Turkcell Vodafone'a. Avea ikisine de çaktı. Turkcell döndü Avea'ya çaktı. Biri reklamdan sonra ""Ayna-kilit"" desin",notr
Turkcell reklamındaki yaşlı amcanın yaşadığı kafanın yarısını yaşamak istiyorum.,notr
Digitürk ttnet turkcell 5 para etmezsiniz alayınızın amk,olumsuz
TURKCELL'IN İNTERNET PAKETİNİ KULLANMAMA SON 1 DAKİKA :dd,notr
Turkcell destek beni bul gardaş,notr
turkcell internet paketimde mb bitti bunu iptal edip baSka paket nasIl yapIcam ben bilen varmI,notr
Turkcell Müzik'te Queen - You Don't Fool Me şarkısını dinliyorum. http://turkcellmuzik.com,olumlu
Hayatımda ankaradaki bir dernege üye olmadım amaher gün sms geliyor Kaça sattınız numaralarımızı AYIP AYIP Turkcell,olumsuz
allah belanı versin turkcell gecenin yarısı 10 dakikadır müşteri temsilcisine bağlanmak için bekliyorum güya türkiyenin en iyisi turkcell,olumsuz
SMS yapinca yaninda bide 100mb veriyomuş turkcell askim mbciklerimde bitmişti zaten :dd,olumlu
"Turkcell avea vodafone reklamlarından irite oldum arkadaş, biz size neden para veriyoruz? En ufak depremde hatlar kesilsin diye mi",olumsuz
@turk_telekom @ttkomir @turkcell @turkcellhizmet aynı server üzerinden turkcell 3g ve turktelekom adsl hız testi..-1 https://t.co/sj5cq3qv97,notr
"Sen bu yazıyı okurken birileri seni sikiyor. ""Hükümet-Devlet-Avea-Turkcell-Tekel-Vodafone-İgdaş"" Artık aklına ne gelirse hocam",olumsuz
- Turkcell'mi.?- Vodafone'mi.?- Turkcell'se Beğen ¦- Vodafone'sa Yorum At ¦Hangi Hat Daha Çok Kulanılıyor görelim ? ¦,notr
@tirlisureyya paketinizi turkcell hesabım'a giriş yaparak iptal edebilirsiniz.,olumlu
şimdi telefonumu uçak moduna alıp uyuycam ki sabahın köründe münasebetsiz kişiler beni rahatsız etmesin özelliklede turkcell,olumsuz
TL YÜKLEYİNCE = Değerli AbonemizTL YÜKLEMEYİNCE = Sayın AbonemizWay oc turkcell way,olumsuz
2 mb/sn ile indiriyordum ttnet hayırdır bu hız diye düşünürken turkcell mobil verisi olduğununu anlamamla birlikte,olumlu
Internet paketim bitti ama turkcell hala internetimi kesmedi:)))),olumlu
turkcell le baglanamiyoruz hayata.farkindami turkcell.gece insanlar uyuduktan sinyal kesmek ne demek.habersiz hemde.acil durumda ne olacak,olumsuz
"Son açıklamalara göre, Türkiye'deki akıllı tel penetrasyon oranları: Avea:%75, Turkcell:%64, Vodafone:%71 ort:%70.",notr
Xperia Z'nin ülkemizdeki fiyatını Turkcell belirledi http://bit.ly/10vS8os,notr
Turkcelle ödediğimi vodofona ödesem üstüme ev verirlerdi amk turkcell 3310 vermiyo,olumsuz
"turkcell den goller küpede :) :) çok iyi ya
* http://t.co/VBrkipSUB0",olumlu
Turkcell Sesi Görenler Deplasmanlı Futbol Ligi'ne katılacak olan kulüplerin dikkatine - https://t.co/vbHBXtKzao,notr
Turkcell @superonlinetr teknik destek #MAC işletim sistemi kullanıyorsanız telefonda yönlendiremiyor.? Tüm yönergeleri #Windows için.? #fail,olumsuz
Firmadan kaçırttığınız müşterilerinize sorun ne kadar #bağlıyızbiz #turkcell #sennereyebağlısınturkcell #sizinyapacağınızkampanyayatükürük,olumsuz
Turkcell'in Askercell reklamını izledim. Hangi ajansla çalışıyorlar bilmiyorum ama operatör reklamları arasında tartışmasız en iyisi.,olumlu
@bipmobil uygulamamız üzerinden teknik destek vermeye başladık. hepimize hayırlı olsun???? turkcell'le daha iyiye????,olumlu
"Turkcell'de 500 dk, 1000 sms ve 3 GB'lık paket 39 lira olmuş. 1 senelik taahhüt vermeyen bin pişman. Hemen kardeşimi ve kedimi geçirdim.",olumlu
"turkcell'e geçtiğime hiç bu kadar sevineceğimi tahmin etmezdim.resmen çekiyor,bildiğin çekiyor,full çekiyor,her yerde çekiyor asfhdhg",olumlu
Turkcell'in wifi hotspot reklamını yazan ajansın 3g kotası ve fiyatlarından haberi yok heralde :)),olumsuz
reklamlarınızla twit akışımın içine etmeniz artık turkcelle geçmemem için bir sebeptir. reklamla kaybediyorsunuz! @turkcell,olumsuz
"2 aydır avea ya geçmişim, haftada bir turkcell beni arıyor... demem o ki beni özlemiş",notr
"iyiyim facebook, fiziksel bütünlüğüm yerinde. twit atayim diye 100 mb internet gonderen turkcell evet iyiyim. yarin ise gidecegim...",olumlu
Whatsapp'ın benzeri olduğu halde Turkcell Bip 187 ülkede 6 milyonun üstünde indirilmiş. Bu bir pazarlama başarısı değil mi?,olumlu
turkcell tam soyguna CIkmIS arkadaS.cebin aG eriSimin kapattIm halen internet kullandIn deyip her gUn para tIrtIklIyor.suCu da cihaza atIyor,olumsuz
@HandeBerktan @BAburakaydin ve Turkcell enerji şirketi kuruyor.,notr
Arkadaşlar aranızda turkcell Platinum olan var mj,notr
"Şüphesiz ki; burgerking, turkcell 2'li menuleri kaldırırsa öğrenciler aç kalır.",olumlu
hadi yurdun internetinin kendine hayrı yok sana noluyo turkcell'in interneti :d,olumsuz
Turkcell interneriniz bitmiştir mesajını intenetim bittikten 5dk sonra gönderiyo sanki teknosacell kullanıyom,olumsuz
turkcell bir yandan yarisma duzenleyip kazandigimizi kontur yuklemiyirsunuz sizleri sahtekarlikla sucluyorum,olumsuz
Turkcell Style den sonra Harlem Shake .. Turkcell reklamlarıda baydı yani,olumsuz
ttnet hızımı kısıtlamıs çok download yapmısım adil kotaymıs.. turkcell hızımı kısıtlamıs cok download yapmısım :D,olumsuz
Turkcell eglence baslasin :) (@ Cukka Fasl-ı Meyhane w/ @ipekiscann @birgaribanmtyiz) [pic]: http://4sq.com/VvukQO,notr
Turkcell bu mu turbo internet? Cevirmeli ag daha hizli. Yaziklar olsun,olumsuz
Avea veya turkcell birisi arasada ceparan gelsee :D,notr
@verdersinvermez olayı türk hava yolları turkcell e kadar bağladılar gerisini sen düşün,notr
sadece turkcell avea vodofone 2 gb 2000dk 1000sms istiyen kız numarasi versin 3 tane söz yapcam yapmiyan en adi şerefsizdir,olumsuz
"Şuna bir göz atın: ""Turkcell Hayal Ortağım"" -  göz atın: ""Turkcell Hayal Ortağım""",notr
Turkcell'den Türkiye'de bir ilk: Akıllı Öğrenme Platformu http://www.teknolojioku.com/haber/turkcellden-turkiyede-bir-ilk-akilli-ogrenme-platformu-23825.html …Özeti görüntüle 0 retweet 0 favori,notr
Son gelen faturadan sonra veda zamanı geldı sabıt odedıgım tutara artı 2 kat fark Turkcell,olumsuz
#yalandunyada maşallah heryerden reklam toplamış KFC turkcell saray halı bakalım ne görcez daha,notr
"Turkcell'i de ensar için boykot etmiştiniz.Sonuç?Bu ülkenin markaları da iktidardan öğrendi arsız,yüzsüz olmayı çok da fifi diyorlar özetle.",olumsuz
"Bende Ne Varsa yarından itibaren; Ttnet, Turkcell, Avea Müzik ve Fizzy platformlarında da yayında :) Gömülü resim için kalıcı bağlantı",notr
tempobet_turkey siteye avea ve vodafone 'dan erişim varken turkcell 'den erişim saglayamiyoruz bu konuda sizde bir bilgi var mı?,olumsuz
Bu ne biçim internet Turkcell bu kadar yavaş internet mi olur ? Bide Turbo 3G diyosunuz,olumsuz
@lenovoturkiye lenovo vibe x2 aldık güncelleme gelmiyor turkcell romlu turkcell size yönlendirdi bir açıklama yapın,notr
"@mertpostif özgür kız, kızlarımızı olumsuz etkiliyordu zaten. Turkcell hatasından dönmüş helal olsun hee.",olumlu
turkcell mUzik in cash listesine ba yIl dIm! en sevdiGim parCalarI bir araya gelmiS kalp kalp kalp,olumlu
Kontor yukledikten sonra Turkcell bana ufak suprizler yapmaya basladi :)) 1000 sms internet felen,olumlu
La bu turkcell 20 lira fazladan gomcurmus bana. Yatacak yeriniz yok olm.,olumsuz
Turkcell Turkcell de bir sorumlu yokmu 32 tl lik paket nasıl 92 tl geliyor. Ulaştırma Bakanlığı bu çarpma sistemine göz yumuyor,olumsuz
Turkcell Harlem shake iyi olmuş bence,olumlu
"Kesilmeden, arada ses gidip gelmeden bir konuşma yapamaz oldum. İlk fırsatta Turkcell'den kurtulmanın vakti geldi artık...",olumsuz
DİYARBAKIR- Bölge Satış Yöneticisi - İnteltek-Turkcell Grup Şirketleri [Diyarbakır - 25.02.2017],notr
@kafsinkaf1903 turkcell de genCturkcelllilere Ozel 25 tl ye 500 dk 1000 sms 2 gb internet var,notr
Turkcell 10.000 dakikayı napacam ben kiminle konuşacam,notr
"Turkcell Global Bilgi, BSI (British Standarts Institute) tarafından verilen “ISO 22301 sertifikası alan dünyadaki ilk-tek çağrı merkezi oldu",olumlu
önce internetimi sonra tl lerimi sömürdün turkcell !!,olumsuz
Reklam yapmış gibi olmayım ama Turkcell bayilerinde 1GB sınırsız internet paketi 5 lira kampanyaya bak,olumlu
tUrk telekom arena ve vodafone arena..eGer turkcell akIllI davranIrsa hUseyinavniaker spor kompleksi turkcell arena yakIndIr.@ustamuharrem,notr
"Hêvî Retweetledi: Koray ÇalışkanSon günlerde Turkcell;""Aradığınız kişiye şu an ulaşılamıyor.Muhtemelen Güneydoğu'da.."" #SilvanAndNusaybinUnderAttack Hêvî ekledi,Koray Çalışkan @koraycaliskanSatmayan havuz gazetelerinde gordugum sayfa sayfa Turkcell reklamlarindan biktim. 10 yillik abonelikten ciktim. Bir rahatlik...",olumsuz
yillardir turkcell yuzunden cekmedigim cile kalmadi yarin huzuru vodafone 'da bulacagim. bay bay turkcell,olumsuz
"#t70benimolsun turkcell, aSkIn teknolojik simgesidir. t70'de milli teknolojinin simgesidir.",olumlu
Haftanın son gününden Günaydın. Herkese (@ TURKCELL CEPTAŞ  DAĞITIM MERKEZİ TRABZON),notr
Bir Turkcell'inin daha ahaha Türk Telekom yazıyo o ne lan dalgasını kaldıracak gücüm kalmadı.,notr
"sevgililer gUnUnden tek kazancIm, gUnlUk 14 gb internet oldu.. minnettarIm sana ey yalnIzlarI kayIrmayan turkcell.. |01",olumlu
Turkcell kadar mesaj atsaydın şimdi evlenmiştik.,olumsuz
Off avea yenio reklaminda turkcell in 4 ceker seyine saglam laf sokmus :D,olumsuz
Turkcell&#39;in bile mesaj atmadığı gün bitmek üzere.,notr
"turkcell genel müdürü kaan terzioğlu, ""1 nisan’dan itibaren 4.5g ile dünyanın en hızlı mobil interneti turkcell’de olacak” dedi.",notr
güvenli turkcell  http://yfrog.com/es54dnaj,olumlu
"ya sus yaa bi de turkcell olacaksIn! o kadar para alIyon, niye Cekmiyon he niye? haram zIkkIm edeyim mi he, edeyim mi?!",olumsuz
cnm turkcell |24,olumlu
Girit'e deprem olmus. Internete kavusunca ogrendik. Depreeem yazamadik hos zaten hissetmemistik de. Turkcell sms atti gecmis olsun diye,notr
Amk manitası olmayan bile 2 dakikada manita yaptı bir sinema için amk turkcell iniz var o da olmasa bedava bilet nerden bulucaz :D,notr
Turkcell tam tamina 3 MB bedava internet yolladi 3 MB de bende var 6 MB. Kullan kullan bizmez bu,notr
@TurkcellHizmet şuan bir problem kalmadı teşekkürler turkcell :),olumlu
bu avea reklamInda oynayanlarIn yUzde 80 i turkcell yada vodafone lu deGilse adImI deGiStiririm.,notr
Vestel ve Turkcell akıllı telefonları karşılaştırması en son haber http://t.co/XKZHlv9rem @ensonhaber aracılığıyla,notr
turkcell4g daha bizim evde telefon çekmiyor 4g mi ? turkcell,olumsuz
@vodafonetr turkcell ölsün,olumsuz
demekki neymiş turkcell -akcell olursa degeri %20 düşermiş.demokratik tepkimiz devam edecek. mehmetcheliklv bkenes,olumsuz
turkcell hesabıma girip bakmaya korkuyorum ne kadar konuşmam ve internetim var diye,notr
İZMİR FİNANSAL ÇAĞRI MERKEZİ MÜŞTERİ TEMSİLCİSİ - Turkcell ve Grup Şirketleri [İzmir - 21.02.2017],notr
@gozdedaral turkcell de kalman daha faydalı,olumlu
askercell reklamini izledim ve deli gibi agliyorum resmen nasi bise yapmissiniz turkcell tuylerim diken diken oldu ya,olumlu
turkcell/terzioGlu: bip ile whatsapp'I yeneceGiz,notr
Babamda iphone 5 var annemde 4s var bende ezik gibi Turkcell MaxiPRO5 kullanıyorum :(,olumsuz
"tv keyfini telefonunuza getiren turkcell tv+, platinum müşterilerimize ücretsiz",olumlu
Bu gece gülümsememi sağlayan Turkcell Profesyonel Club reklamı ve işler güçler ekibi tabii,olumlu
Turkcell ne şerefsizsin,olumsuz
4.5G sonrası @n11com'un günlük cirosu 6.5 milyondan 17 milyon TL'ye yükseldi. Turkcell CEO @Kaan_Terzioglu @IBPF_ https://t.co/2zPtbrFLcA,notr
ulan o kadar para ödüyorum turkcell internet için karşılığında internet diye bişey yok bide üstüne müşteri temsilcisi bana bağırmaya kalkıyo,olumsuz
"@bekirklncc size en yakIn turkcell iletiSim merkezi'ne giderek, 4.5g uyumlu olmayan sim kartInIzI, Ucretsiz deGiStirebilirsiniz.",notr
"Kız evden kaçıyo, üstüne evleniyo bide çocuğu oluyo sonra babasına bi mms atıyor ve hop barışıyorlar he turkcell he oldu bu iş çok satacan.",olumsuz
Tamam turkcell beni seviyo ama bu sefer abartti :D,olumlu
"Hangi Turkcell mağazasına kontör yüklemek için gitsem,sistemler çalışmıyor diyorlar,çıldırtmaya mı çalışıyorsunuz lan insanı ey Turkcell!!??",olumsuz
@06melihgokcek Yıldız Tilbe israili eleştirirken burda coşuyordunuz. Turkcell ona sırf bu yüzden haksızlık yapınca neden sesiniz çıkmıyor?,olumsuz
Telefonum;Çalarsa-AnnemMesajsa-TurkcellÖdemeliyse-Kankam,olumsuz
Turkcell Türkiye’de “Güvenli Dijital İmza” Uygulamasını Başlattı,olumlu
Hani bedavaydı lan twitter?! Turkcell gibi kazıkçı bir operatör görmedim,olumsuz
Turkcell Müzik'te Nostaljik listesini dinliyorum.Sen de dinle;tanju okan kadınım  http://trcll.im/Eynqa  Gömülü resim için kalıcı bağlantı,olumlu
Ne hızlı bir gün aman tanrım dedim ?? (@ Turkcell Global Bilgi in İzmir w/ @ozanugur89) https://t.co/rS32g4JsRS,notr
"Yalnızlığını turkcell bile yüzüne yüzüne vurur, ""105 gündür kontür yüklemiyorsunuz.""",notr
İnternetim çalışmıyor Turkcell,olumsuz
Bisey artik Turkcell reklamlarinda cikiyosa modasi gectigini anliyorum. Once gangnam simdi harlem shake,notr
"turkcell,2016'nIn ilk CeyreGinde 600 bin abone kaybetti.gOrUn gUcUnUzU! fikirlere kurSun iSlemez.mUcadeleye devam.yargI sizde #boykot bizde",olumsuz
Turkcell Müzik'te Kıvırcık Ali - Yaralarım @BehlulOVACIK @canleylekoglu  http://trcll.im/9Zs1F  Gömülü resim için kalıcı bağlantı,olumlu
"Şeker Yatırım, Turkcell için hedef fiyatını 10,90TL'den 11,10TL'ye yükseltti, tavsiye 'TUT'",olumlu
@emineozmeen 5327572222 turkcell tarife ve kampanya destek hattı ile ihtiyacınız olan bilgileri ücretsiz alabilirsiniz.,notr
Turkcell'in Elmas sponsorluğunda yarın gerçekleşecek Webrazzi E-Ticaret 2017 için son saatler!…,notr
Mobil veriye can çekiştiriyorum sonra da Turkcell cüzdanıma can çekiştiriyor. Wifi'ysal sorunlar falan..,olumsuz
Allah belani versin Turkcell,olumsuz
turkcell'i internetinden twittera giremiyorum,notr
"avea,ttnet,turktelekom birlesti ama 3'U yine bir turkcell edemedi",olumlu
ibrahim__1986 aynen kardeşim ya turkcell kullanıyordum vodafone a taşıdım çok pisman oldum ya,olumlu
@webtekno aynen yıl 2017 bizim evde ne turktelekom ne turkcell ne de vodafone cekıyor alt yapıyok,olumsuz
Şehirlerin Turkcell ile dönüşüm hikayesi - Turkcell Blog http://blog.turkcell.com.tr/sehirlerin-turkcell-ile-donusum-hikayesi/ … @Turkcell aracılığıyla,olumlu
Demek 9GB + gece 4GB. Tşk turkcell ??,olumlu
"turkcell teknoloji zirvesi 2016, @turkcell cto'su ilker kuruOz'Un sunumuyla baSladI.",notr
Turkcell bide müşterilerin dilinden çıkanı anlasanız...ya umursamıyorsunuz ya da dinleme ihtiyacı hissetmiyorsunuz...yazık,olumsuz
"Turkcell Superonline reklaminda oynayan uzun boylu cocuk, Behzat C'de surekli lays yiyen degil mi ya inanilmaz zayiflamis",notr
yeni turkcell reklamı köyü özletti.,notr
@umuranz 3G'si Turkcell'den hızlı ve çekmediği çok yerde çektiğini gördüm ama Turkcell'in konuşma ses kalitesi en iyisi,notr
paketinizin %80 ini kullandınız. twitterdan çıkmam gerektiğini anlatan en anlamlı mesajı yine turkcell den aldım.,notr
Milleti Canının İçi arar bizide Turkcell Sen bakisin öyle kalacan canım operatörüm,olumlu
turkcell in @yildizztilbee ile olan reklamInda sonra turkcell hattimi kapatyorum boykot edyorum #yildiztilbeyalnizdegildir #Careyildiztilbe,olumsuz
4) avea sen önce elemanlarının müşteri ile nasıl konuşacağını ve nasıl davranmaları gerektiğini öğretmelisin. turkcell temsilcileri super,olumlu
Learn how @Turkcell saved 13 %on annual rework costs using #networkoptimization w/ @LLamaNews http://www.llamasoft.com/wp-content/uploads/CS-Turkcell-NO.pdf …,notr
@HUS20bjk Bir gün içerisinde en fazla 3 kez yeni Turkcell Şifre talebinde bulunabilirsiniz.,notr
Sene 2014 telefon turkcell T40 uygulamadan giriyorum sen hala web ne iş?? @laragundodu,notr
Turkcell Habersiz Hat Sahibi Değişikliği! http://www.sikayetvar.com/sikayet/detay/3420024/turkcell-habersiz-hat-sahibi-degisikligi … via @sikayetvarcom,olumsuz
Evimde iletişim hakkımı TURKCELL yüzünden kullanamıyorum. 8 aydır bu sorunu dile getiriyoruz. Hala bir çözüm yok.Lütfen bir dönüş yapın.,olumsuz
murat vargI turkcell fikrini bUyUk iSadamlarIna aCIklar ama kabul gOrmez.,notr
@yarennymnn  vay anasını satıyım ya :SSSS bana en uzun mesajı atan TURKCELL COK SEVIYORUM ASKIMI YAA :dDddd,olumsuz
telefon kendine geldi sonunda yaSasIn turkcell,olumlu
@Turkcell arkadaşlar aldgmız duyumlarda egemen bağış turkcell yonetim kuruluna girmiş...17-25 egemen..,notr
"Turkcell lütfen 50000376 nolu basvurumuzu degerlendirin. Izmir'in göbeğinde 3G full gözüküp hiç çekmiyor, ailece maduruz",olumsuz
"Verdiğim paraların haram zıkkım olması dileğiyle,turkcell allah belanı versin!",olumsuz
SENIOR DATA SERVİSLERİ KURULUM MÜHENDİSİ - Turkcell İletişim Hizmetleri A.Ş. [İstanbul(Asya) - 16.02.2017],notr
Turkcell cevizlibağ ın göbeğinde tercüman sitesinde çekmiyor,olumsuz
Platinium a geçince Turkcell müşteri hizmetleri bile annem gibi ilgilendi. Kapitalist dünya işte,olumsuz
turkcell'in reklamI berbat,olumsuz
"Turkcell'in şu reklamlamlarındakii sarı ucubeleri çok gereksiz şeyler bence. koskoca markaya bak ya! selocanlar, emeconlar, solucanlar.",olumsuz
Az önce Google Hangouts'dan Amerika içi telefon görüşmesi yaptım ve hiçbir ücret almadı. Bunu Türkiye'de uygulasalar Turkcell bile batar.,olumsuz
Karabük zorunlu Turkcell aboneliğine sürükler..... Turkcell yenidenn ;)),olumsuz
Dolandırıcıların Son Numarası TURKCELL adıyla sahte borç bilgisi gönderiyorlar https://t.co/zvgJ99dYHl,olumsuz
turkcell 1 gb hediye yollamis o zaman gUnUm aydIn,olumlu
Turkcell Müzik'te Bon Jovi - It's My Life şarkısını dinliyorum http://t.co/DAXAOcEbTH,notr
turkcell hayrına beleş internet paketi falan yapsanıza be,notr
Turkcell 10.000 dk hediye etti lan kiminle konuşayım jdjdkdks,olumlu
ÇAĞRI MERKEZİ MÜŞTERİ TEMSİLCİSİ - ERZURUM - Turkcell ve Grup Şirketleri [Erzurum - 22.02.2017],notr
Turkcell'in sosyal medya reklamini sevdim :) #zalimsinsosyalmedya :p,olumlu
"İnternet paketimi yenileyince ayriyeten 1GB daha ve twitter paketi veren Turkcell, böyle yaparsan seni hep severim sefgilim.",olumlu
turkcell in reklami mukemmel olmus turkcell,olumlu
Benim sadece internete verdigim parayla millet sms dakika internet yapiyo kaziksin terkediyorum seni TURKCELL,olumsuz
Harvard'lı Emily ne acılar çekmiş o konferansı 10 saniye sonra indirdi diye.Harran'lı Emine'ye sağladığın imkanlar için teşekkürler Turkcell,olumlu
olum niye turkcell tv+ mobil uygulamasIndan niye haberim yoktu benim,notr
Turkcell Yurtdışı Konuşma Paketi - Nexus TelekomTüm Turkcell Hatlılara Ucuz Yurtdışı Konuşma Paketleri. http://fb.me/3iYu44gL7,notr
18 yıllık turkcellliyim. birkaç gün sonra #turkcell hattımı taşıyorum. sebebi ise son iki yıldır çözüm odaklı değil sorun odaklı olmasıdır.,olumsuz
sarIyer'de en az Ceken gsm operatOrU kesinlikle turkcell.. hatta hiC Cekmeyen.. |02,olumsuz
Turkcell artık yeter .Bıktırdı reklam ve aday mesajları.24 saat gece gündüz yağıyor.Numaramı satıp sen para kazanıyorsun ben çıldırıyorum.,olumsuz
Turkcell nette sıkıntı vermeye başladi.s,olumsuz
Iyi gidiyo iyi :) (@ Turkcell Global Bilgi in Erzurum) https://www.swarmapp.com/c/ewrQx4z08pP,notr
Turkcell'e hayata bağlandık diye mi böyle oldu?,notr
"Turkcell bugün mesaj atmadı, kesin başka biri var",olumsuz
turkcell 20 yıllık turkcell liyim m.hizmetlerindeki sorumsuz yüzünden puanlarımı sildiniz. en kısa zamanda kurtulacağım sizden.,olumsuz
Turkcell e iyi sövüyorum internet konusunda 10 mbit internet var 0.00000000001 k bit hızında ya.,olumsuz
"Yılbaşında Turkcell ve Vodafone verilerine göre 784 milyon sms atılmış.Bu insanlar ""Gazze İlaç"" yazıp bir SMS ile #GazzeyeİlaçOl abilirlerdi",notr
"Ohhh bee Avea'dan kurtuldum , Turkcell candır",olumlu
Yarın sabah Turkcell'li Beşiktaşlılar olarak İnönü'ye lokma dökmeye gidiyoruz. Emekçinin yanında olmak boynumuzun borcudur...,notr
bu turkcell niye cekmez ya ..?,olumsuz
turkcell'in kapsama alanında abd'den daha iyiyiz dediği reklamların altyazısını okuyunuz.,notr
"insanın arada arayıp saçmalayabileceği, boş boş konuşabileceği turkcell'li arkadaşları olmalı",notr
abv turkcell sOmUre sOmUre doymadIn!,olumsuz
hay baSlIycam aveasIna da tUrk telekomunada. yeminimi bozdurup turkcell e geCiriceksiniz yine beni,notr
"turkcell mesaj atmayı bırakıp aramaya basladı, yalnız degılım",notr
"turkcell ""kardeşini seç projesi"" ile dağıtılan hediyelerimizden benim kardeşime şura'ya hediyem kavuşmuş.teşekkürler",olumlu
"Kılıbık arkadaşımın telefonunu alıp, sevgilisinin adını TURKCELL diye kaydetim. Gelen her mesajı okumadan siliyor.",olumsuz
"Süreyya Ciliv: Turkcell, Avrupanın en hızlı büyüyen telekom grubu oldu: Turkcell CEOsu Süreyya Ciliv, Turkcell... http://tinyurl.com/pv8fpwa",olumlu
@Turkcell turkcell iyide kampanya yapmıyorsunuz diger operatorler sürekli kampanya yapıyorlar,olumsuz
@turkcell dalga mi geciyorsun turkcell... turkcell hattimi kapatacam ya,olumsuz
"Turkcell'in çekmediği bilimum yerlerde Avea'yi test ettim, çekiyor.",olumsuz
kendimi turkcell t60 gibi hissediyorum,notr
Turkcell her yerde Turkcell baba,olumlu
Davali Adnan Argun de Turkcell'e karsi davayi kazandi.,olumsuz
"bizim turkcell sponsorluk noldu acep, ne zaman haber alırız ?",notr
iki gündür turkcell cancım mesaj atmadı acaba bir şey mi oldu diye merak etmiyor değilim..,olumsuz
"Turkcell'in ""Özgür Kız"" temalı reklam yüzü, Türkiye'nin yaşadığı kültürel değişimle 'Racon'a dönüştü.",notr
olum turkcell niye çekmiyo aq ne oldu bu çekim kuvvetine,olumsuz
turkcell elini vicdanına koy :'),olumsuz
@incrivelneymar turkcell de 2017de azaltti diye biliyorum,notr
@tuncayyburak @Turkcell turkcelli bırakamam....... yıllardır bana dayanıyor....ayıp olur.....,olumlu
turkcell'in eski telefonu getir reklamındaki yaşlı amca çok eğlenceli olmuş da biri o amcaya 3 aylığını bir iphone'a gömdüğünü söylesin.. :d,notr
Bu gece Turkcell'e şükredicem.İyi ki varsın be.Salla kazanı tekrar geri getirmekle mütüş bi iş yaptın.Herkes böyle bi app yapsa negzl olur.,olumlu
"İliski durumum: Çalarsa annem, mesajsa turkcell, odemeliyse kankam.",olumsuz
bu gün turkcell mesaj atmadı kesin başka birisi var))),notr
turkcell 4g sim kartınızı aldınız mı? turkcell turkcell / snapchat onurollstyle,notr
Turkcell YolBilgisi http://windowsmobile.indir.com/turkcell-yolbilgisi … Ücretsiz Seyahat Programı @Turkcell #yolbilgisi,notr
"Yayın hayatına başlamıştır :) Turkcell , Turktelekom, Vodafone operatörleri için dakika yüklemesi ve tl yüklemesi",notr
vakit tamam turkcell seni terkediyorum ..|46,olumsuz
turkcell yeni fax konulu reklamıyla müşteriyle dalga mı geçiyor ? fax mı kaldı yahu? @turkcell,olumsuz
Turkcell'in ''mesafeler'' ile ilgili reklamı çok hoş değil mi ya :J,olumlu
Dur bi mesaj atıyımda gece gece sevgilisinden geldi zannetsin :D       -Turkcell,olumsuz
