Sentence,Sentiment
O zaman seni Hayat Paylaþýnca Güzel reklamýnda görmemiz imkansýz görünüyor :) Yani bir jeep ve bir kaç Selocan olmayacak :),3
Bu turkcell bana fake atýyo hee,2
"aman bunu da hizmet diye satar #Turkcell ""Hayat rahatsýz edilmeyince güzel"" deyip yansýtýr faturaya.",2
turkcell seni sesinden tanir :D aklima geldi de kendi kendime guldumm :D,2
hahaha yeni gördüm koptum ya.. ama cidden kýsa olmuþ bu sefer:)) Turkcell'in yeni selocanlarý biziz:),1
En kýsa zamanda turkcell den bosanýcam,2
BIKTIM ARTIK FAZLA FATURA ODEMEKTEN 5 DEYÝP 10 ALIYORSUNUZ HEP 20 YILLIK MUSTERÝNÝZÝM YETER ARTÝK,2
Bu Turkcell den yediðim 3. Kazýk hala reklam yapýyorlar bide kaliteli iletisim diye.. Stoklarýndan bile haberi olmayan kurum yazýk size!!!,2
diye bir nick üzerinden gelen þikayetlere bile ancak 7 gün dayanabildi  in takip ettiði yöneticiler,2
benim bu gsm ile alakasýzlýðým ne olucak turkcell msj yollamýþ 75 gündür tl yüklemiyormuþum þikayetci :) elimde olsa çöpe atýcam telefonuda,2
müzik yaz 1040 gönder 20tl kazan bunu yapýp kazanan varmý turkcel için gecerli,3
Yok turkcell degil bu sefer :D,3
vodafone herkesin hakki ama sn halaa turkcell,2
"“RT: Turkcell'den müthiþ kampanya: Siz hattýnýzý Turkcell'e geçirin, biz de size geçirelim.”",2
Avea yalan söylüyor Tamam denilen iþleme 15 gün sonra olmaz dediler Kendi içinde iletiþim kuramayanlar müþteri ile nasýl kursun,2
Bu servislerde enaz ikisi yalan söylüyor     2011'de en çok kullanýcý kazanan hangisi? Herkes kafasýna göre birinci,3
"caným oda numaramý deðil, turkcell numarasýný sormusdum :P",3
"#Turkcell umarým bundan sonra kafasýna sarý anten geçiren,mýy mýy konuþan v ayaðýna inþaat çizmesi giyen çocuklarý kullanmazsýn reklmlarýnda",2
turkcell tv projem ile ilgilenmedi?nerede musteri memnuniyeti?  nerede girþimcilere destek?.....,2
"Ýþte iPhone 4S fiyatlarý!: iPhone 4S Avea, Turkcell ve Vodafone ile Türkiye'de satýþta... Ýþte tarifeler ve fiyatlar...",3
O zaman turkcell lilerle konuþursun hýýýhh . :),3
yýllardýr seni severek kullanýyorum bana bi 50tl kýyak geçsene ya,1
#BuKutudaNeVar  yayýnda inanýlmaz VIZILTI var..teknik masa..lütfen çözün.....,2
"Bugün Turkcell tarafýndan çekiliþe katýldýðým için tebrik aldým. O zaman anladým ki benim için küçük insanlýk, için büyük bir adým atmýþým.",1
bana msj atan da yok ama tcell ne biliyim sikindiri boktan giysi firmalarý falan filan çook yalnýzýmmm :( :P,2
hayir iste turkiyede yoktu turkcell fln getirmedi ayfon 3unde bi dusugu ilk cikn ayfon :D bzim evde 5tane var zamaninda almistk,3
bilmiorum ki kocum trcell i kullaniorum artik,3
#hayattansogutanseyler onemli bir mesaj beklerken gelen msjin turkcell den olma kafasi.,2
"Benden bu ay 7 tl deðil, 14 tl alman gerekiyordu, çok keksin turkcell",2
"#3kelimeyle2011 dakika, sms, Mb (hep sevdiklerimle mutlu þekilde harcamak için)",3
Online iþlem merkezinizi kontrol etmenizi rica ediyorum ! 2 kez farklý tarihlerde iþlem yapmak istedim hep sorun çýkartýyor !,2
O turkcell atakan mis zaten tahmin ediodum :D,3
le iliþkimiz tek taraflý #hayatpaylasincaguzel diyor ama o bizimle hiç biþeyini paylaþmýyor.. hep bizden bekliyor..,2
"kardeþim ""ben sevmedim, sen bak..."" diye bana bir turkcell t10 verdi. Rom atmak diye bir þey varmýþ, onu kasýyorum sabahtan beri... Zormuþ!",3
#bukutudanevar bu  nin en saðlam reklamý oldu   #turkcell,1
Hayat paylaþýnca güzel lalalalalalalalalalaaaaaaaaaaaa :D,1
off ali ya sbh sbh ne güldürdün :D art ýk facebooktanda Turkcell ile iliþkisi war yaparsýn sen :D,1
Ne oldu? 8 günde 10bin  çisi KORKUTTU mu seni?,2
"Müþteri temsilcisi çok önemli. Ýyi maaþ verip, çok akýllý insanlar barýndýrmalý.   ve bir çok þirket....",3
0 facebook kapanýyo sms 14 tl smsi olmayanlar facebooktan mesaj atamýcaðý için sms yapmak zorunda olduðumuzu düþünmüþtür kesin o.ç türksel,2
"3G sinyalim sürekli Edge'e düþerken,  Turkcell internet keyfimi ""kesintisiz"" sürdürebilmem için aboneliðimi yenilediklerine dair mesaj attý.",2
"bugün sabahtan beri söylediðim tek þarký var ""Bu sabahlarýn bir anlamý olmalý""(vega)þimdide hayat paylaþýnca güzel bu þarký takýldý dilime:)",3
turkcell soyguncu... Ben 6-12 ay da býr avea vodafone arasý gýdýp gelýyorum ký no degýstýrme fýrsatlarýndan yararlanýyorum heheh,2
Oha turksel bana çalýþýyo resmen 487 dakika bedava vermiþ :O,1
Turkcell ýn zamanlamsý,3
Bir polis mesaj atar bi egm atar bir turkcell atar bir de o uyardiklari kisiler atar. Hediye kazandiniz diye. Hey Allam.,2
valla ben tarifem neyse onu oduyorum turkcellden de gayet memnunum yillardir turkcelliyim...,1
turkcell'de her yöne bedava sms var mý,3
1GB cepten internet paketi 29 TL yerine 3 ay boyunca ayda sadece 9 TL de 1 ay sonra iptal edilebilr mi?,3
oyle cevap yazdim tcell'e.size ihtiyacim yok diye.,2
Niye Twittere reklam verdi ki ?,3
Mesaj beklediðinde sürekli telefon titriyor gibi hissedersin. Ve sonunda titrer 1 Yeni Mesaj: Banka/Turkcell #BuBoyledir,2
"""Sebepsiz yere bakiyesini düþüreyim de üzülsün fakir."" -Turkcell",2
"stres,huzur,piþmanlýk",3
süperonline interneti ttnet e kiralýyormuþ ben 2 ay önce geçtim süperonline a çok memnunum:),1
Ýnternet paketi yapýnca giriyo bedava deil. 100 mb ayda 10 tl. ne reklam yaptm ama hem de turkcell :D,2
DIR DIR DIR,2
bak ikinci öneri supermis. turkcell li degilim birinci yatar,3
"benim turkcell bugün fena daðýttý,deneme tweetidir",2
"Korkuyorum yakýnda bütün reklamlarda halk müziði çalacak ,biri halkýn sadece  bu olmadýðýný söylese? #akp #turkcell",2
"""hayat paylaþýnca güzel"" derken;ugg'lý,taytlý,dudaklarýnýzý büzerek poz verdiðiniz,altýnda can yücelin þiiri olan fotoðraflarý kastetmiyoruz",3
Meraklaa beklediqinz mesajda titreyerk acmaya bekldnZ msji sevqilnzden qeldini dusnup acmzsnz ve sonnda cesaretle acrsinz TURKCELL :D,3
Tatlým senin hattýn Turkcell deðil mi? Ben gene sömürüldüm mesaj atarken :D,2
"Telefonumun bozulmasý sonrasýnda Turkcell'den gelen ""3."" yedek telefonda bozuk çýktý þu an.",2
"Ben turkcell den vodafone'na geçmeyi planlýyorum, avea çok kalitesiz...",2
"""Hayat Paylaþýnca Güzel"" ücretsiz MMS kampanyasý boyunca, 20 günde toplam 21 milyon 913 bin MMS gönderildi :)",3
#superonline yine birincil dns sunucusu hatasi verdi baglanamiyorum,2
Diyarbakir'dan ayrilma vakti..Aksam yemegi ve kahvaltisi mukemmeldi..Sahneyi anlatmaya gerek yok;)Tum Turkcell ekibine tesekkurler;),1
 hayat paylaþýnca güzel la la laaa laa  ,1
Lan turkcell e bak yeni cihaz veriyormuþ sonunda,1
$aka yapiyosun cansum!Turkcell'de cali$ipta boyle bir olayi ya$aman trajikomik olmu$. Bende heray fturami odemeyi unuturum,3
o zaman perþembe günü sherlock holmes a gidebiliriz belki :D,3
Bizim evde iki selocan var :),3
"Turkcell ""kim aramýþ"" diye göstereceðine ""kimler aramak istemiþ"" diye gösterseydi herþey bambaþka olabilirdi.",3
þerefsiz onursuz tamamen kapitalist ve hileci bir firma sizi ödemeli ariyorlar ya ilave çalýyorlar 29 krs,2
pahalýsý pahalýsý kaliteliymiþ:) harika reklam bayýlýyorum :)) pahalý olsun turkcell olsun :),1
Turkcell Yeni yildizini bulmus,1
#Turkcell ve #Avea faturasýz hatlarýnýz ile mobil ödeme kanalýyla para yatýrarak  üzerinden bahis yapabilirsiniz. #iddaa,3
Doðumgünümde bana en güzel hediyeyi vererek telefonumu bloklayan Turkcell'e sonsuz teþekkürler.,2
"bugün turkcell mesaj atmadý,basýna birþey gelmis olmasýn .s.s",2
Sabahýn 5'inde milli piyango sonucu gönderen bilyoner/turkcell bari ikramiye kazandýnde de boþuna uyanmamýþ olaydým #bilyoner #iddaa,2
Bu ay faturamda beni sasirtmadigi icin tesekkurler  :D,2
"Çünkü, #Superonline bu hýz testi veren saçma sapan sitelerle bir þekilde baðlantýlý olabilir. Bu sitelerde hýzýnýz yuksek gmrünebilir.",2
Pahalýymýs amma kaliteliymiss...  faturayý gorunce oynamaya basladým bende,2
bu turkcell odenmemis faturaniz var smslerini erol koseye yazdiriyor herhalde FULL CAPS LOCK acik. ama bisey isteyince mulayim ve kucuk harf,2
abi zannetmiyorum malum turkcell burundan kýl aldýrmaz :(( ama platform farklý müþteri kapmak için kampanya yapýlabilir,2
D-Smart bugünler de ex aþkým Turkcell'den bile daha fazla mesaj göndermeye baþladý.Çok seviyor olmaý.,2
Turkcell oynadý paylaþsana!,3
Oc turksel,2
Bu turkcell'in hiç iþi gücü yok mu ? sürekli bana çalýþýyor :D:D,2
"Sabah sabah ne guzel msg atiyorsun,bu faturayla rekor kirdim =p#*",2
#3kelimeyle2011 ders ders ders :),3
turkcell miydin sen,3
bu turkcel kampanya yapýnca millette bi telefon sapýklýgýdýr gidiyo da analarýda o tarifelerlemi çalýþýyo sabah 9 akþam 9 bedavamý acaba ?,3
ömrümü yiyen iki þeyden biri turkcell -.-,2
türkcelle bir gökhan özen sarkýsý türkcell sen de bensiz el ocaðýnda aðlayacaksýn:))),2
54 TL gelmiþ.. son 3 ayýn en düþük seviyesine ulaþtý bu ay turkcell,2
turkcell superonline fiber internet veya ADSL ve sabit telefon hizmetleri,1
turksel iþte,3
umursarsýn dýmý  ?? mesajý aldýlar bence : ),2
Mesajsa turkcell arayansa annemdir. Cok yalnizim yaa hayat cok acimasiz :(,2
Mesajlarýmýn iletilmeyiþine de iyice sinir olmaya baþladým. Batarsýn inþallah turkcell!,2
çekmeyenin reklamýný Turkcell'i çekemeyenler yapsýn :),1
"""Hayat paylaþýnca güzel""....",1
Dur þunlara bi mesaj atýyým da sevgilisinden geldi sansýn heycanlansýn.  turkcell,2
bir komþuteyzemiz vr dedikodu sever bugün gündmde aldatýlan kadýnla geldi görüyormsn arzu dedi hayat paylasýnca güzel lala lalala dedm.Oh :),3
"Bu  in benle alýp veremedigi nedir ? Ýs yerimde çekmez evimde çekmez. Bide bangir bangir reklam yapar HD ses kalitesi diye, palavra",2
'e yasattigimiz super musteri deneyimi icin onurlu ve gururluyuz. ( Turkcell Superonline),1
merhaba biz iþsiz gençleriz özel okul açýp iþ güç sahibi olmak istiyoruz bize okul yapýmýnda sponsor olabilirmisiniz acaba turkcel,3
e taþý ve rahatla.. Hadi bakalým,1
superonline baðlatmalýsýn en hýzlýsý o yapabilsem bende anýnda ona geçicem ama þu taahhüt illeti yok mu çok fena :(,1
"Charlene Li: ""Ne olursa olsun bir yerinden Sosyal Medya yönetimine baþlamanýz gerekiyor."" diye tavsiye etti. Turkcell #PazarlamaKonferansi",3
turkcell'e sor deki alihanýn mesaj paketini neden bitirdiniz?,2
Eðer düzenli olarak küfür etmek istiyosan ttneti seçebilirsin ben daha geçen ay superonline geçtim çok daha iyi,1
iPhone 4S ayda 99 liraya bugün satýþa çýktý:  Avea ve Turkcell bugün satýþýna baþlanacak iPhone 4S için kontratl...,3
"výnn kamu paketine üyeyim.Bir mesaj geldi ve Paket aþým ücretinden bahsediyo,abone olurken limit bitiminde otomatik kesilecekdi ?",2
"ben ttnet kullanýyorum ama bence superonline daha iyi -,-",1
Mesajlarým neden iletilmiyor ? Ne boktan bir operatördür TURKCELL !!!,2
yeni yýlda daha uygun internet paketleri bekliyoruz turkcelden.,3
huaweri u8650 yani turkcell t20 o bütçe için en geliþmiþ kullanýþlý telefon :),1
ya sorma gündüz burda akþamda çekimdeyiz Turkcell binasýnda.  bitmiþ durumdayým 2 haftadýr. ocak gelsin.,3
gerzekalý :D turkcell cekmýo babaannemde,2
turkcell miyimm lan ben calarken dinletiyimm jajajajaj:),3
Salak goknur icin turkcell hat aldim takmiyor beni,3
Yaptým kankii ama sen turkcell deðildin sanýrým,3
bu turkcell beni niye sevmiyo ya,2
hayat paylaþýnca güzel,1
e ozaman senin karsýna cýkan denyolarýn türkcell in her yöne msj kampanyasýndan haberleri yoktu:D:D:D,1
TurkcellMüzik biraz daha geliþsin fizy yi tamamen býrakýcam söz.,1
abla cuma günü turkcell muzikte seni canlý canlý internettenmi dinlicez turkcell muzikte olcaðýný biliyorum ama nasýl olcak?,1
Turkcell isi biliyor. 4'te de ayný sey olmuþtu. Kontratli alicaksan Turkcell 'de çok rahat bulursun.,1
Sözlerin olmadýðýný ve lala laa laa la laa þeklinde söylediklerini düþün :) Bana Turkcell'i çaðrýþtýrýyor iþte :),1
Siyavuspasa mah. yaprak sok.bahcelievler'de ki tum musterilerinizin hatlarinin sadece pencere yanlarinda cektigini biliyor musunuz,2
"Dileðim; SuperOnline, Turkcell, TTNET vb. firmalarýn 2012'de ""sizi arayacaðýz"" demek yerine direk burdan cevap vermesi þeklinde. #hope #2012",2
"Musterý hýzmetlerýne baglanýcam dýye sabahten berý ""Turkcell bený sesýmden tanýr"" dýyýp duruyorum sokakta goren delý dýycek",2
turkcell ise vodafone'nin yabancý marka vurgusuna karþýt atakla türk markasý imajýna vurgu yapmaya çalýþýyor,3
istanbul'dan bolu'ya kadar hiç kopmadan internet keyfini bana yaþatan turkcell 3g'ye sonsuz teþekkürler =).. hizmet budur..,1
ama sonunda turkcell bayiine götürmeniz daha iyi olur diyorlar. :),1
#superonline fiber internet 'in Adil Kullaným haksýzlýðýna sessiz kalmayýn. Emsal karar çýktý:   RT!,2
tutturamadim ya. Kahretsin. Turkcell daha iyi tabii :D,1
niye boyle yapiyorsun?!,2
2012'nin ilk Entrepreneurs Roundtable etkinligi ER8 16 Ocak'ta Turkcell'de.,1
keþke  faturam ne kadar die  e msj atýp uykumu kaçýrmasaydým :)),2
Türkcell'den olay gibi bir kampanya.  Hattýnýzý bize geçiriyorsunuz bizde sizeeeee :D:D:D:D:D:D:D:D:D:D:D:D:D:D,2
direk turkcell e yapistir,3
þu 3 günlük superonline deneyimim sonucu söyleyeyim: öyle biþey yok. :),2
"#Turkcell, Global Bilgi Yýlbaþý Partisi ;) ( Bostancý Gösteri Merkezi w/   [pic]:",3
ile  in yaptigi seyahat kampanyasi yerinde ama Aralik ayinda uyguladiklari sistem cok yanlis.,2
"niye sadece 6 ay  faturali hat kullananlara iphone 4s kampanyasi yapiyosunuz? Bugune bugun daha eksiye dusmedim, istisna istiyorum",2
Kendimi turkcell in yeni yýl þarkýsýný söylemekten alikoyamiyorum.,1
biri bana turkcell in gezenzi ye hala yatirim yaparak neye kastigini soyleyebilir mi? foursquare diye bir sey var da...,2
"her yerde çeker de, bu hýzla 3g hiç çekmese daha iyi. Sözleþme biter bitmez back to",1
Bu mesela: SunExpress'te TURKCELL'lilere tüm iç hat uçuþlarýnda %50 indirim! bu gün son gun! -,1
Bugün #turkcell bile mesaj çekmedi,3
Ýki gündür ayný saatte telefonumun baðlantýsý komple gidiyor vs...Sýkýntý oluyor.Canýmý sýkma turkcell!Þuanda 3G yok meselâ!,2
Photo: #türkcell le baðlan hayata! #europe #türkcelleurope #türkei #türkiye #turkey #mobile #pencil (Taken...,3
Mesajim gitsin diye arkadan bi bos mesaj daha gonderiyorum tesekkurler #turkcell daha fazla ne isteybilirim kii???,2
"turkcell 3000 sms her yöne + 300dk heryöne 29tl , vodafone 5000 sms + 500dk heryöne + face , twit ücretsiz 25 tl arada ki fark",3
Kontör yükleyince yalakalik yapan turkcell gibi insanlar var.,2
Martý Dergimiz Turkcell Blog Ödülleri Ýþ dünyasý kategorisinde finalde:)) Desteðiniz için teþekkürler......,3
Bu defa da sms altyapin mi pýrtladi ulen turkcell? 2012de kýlým sana :),2
32 GB Gold paket gayet iyi :),1
turkcell hayatýmdaký kolaylýk ondan :),1
:S,3
Yaptýgýn ýs ýs degýl. Adam 2 ýPhone alacak dýye benden sonra gelmesýne ragmen ben bekletýlýyorum suyun ýsýnýyor ha,2
baþka ne olacaktý sanki :) ben turkcell'in yerinde olsam seni dakikasý 5-10 liraya konuþtururum bu saatten sonra :),1
gerçi turkcell bu defteri haziranda kapatmýþ.,3
#3kelimeyle2011 süper bir yýldý.,3
Büyüksün Süreyya Ciliv,1
hayat paylaþýnca güzel la la laaa laa laaa la laaa ((:,1
21 milyon 913 bin MMS gönderildi,3
"Musteri hizmetlerindeki kadina 'turkcell benim tl'lerime kafasina gore biseyler yapiyo, bilmiyorumki.' Diyorum ya :D",2
"Daha turkcell'in""iki sýfýr sýfýr dokuz hadi gel bekliyoruz""reklamý ezberimdeyken þimdi 2012'reklamlarý var yine bana hasret yine bana hüsran",3
bugünki kadar üzülmemistim ben daha:( türkcell konserinin sayfasi Almanyaya resmen kapaliydi!!! :(((((tekrari varmi konserin?,3
hahahahah :D ya yemin ederim bok gibi superonline ttnet daha iyidi :D,2
"turkcell caným o,emin olabilirsin bende de o numara kayýtlý müþ. tems. :)",3
turkcell in cekim gucu diyelim :D,1
bu þarkýya bayýldým  o_o cok yakýnda turkcell inde yeni yýl jingle cýkar  o-0,1
"Ben teþekkür ederim:) hayat paylaþýnca güzel desek, Turkcell sponsor olurmu acaba:)",1
"madem ''hayat paylaþýnca güzel la la la'' Sertab'cýðým,Demir'in numarasýný versene.",3
MUTLU KEYÝFLÝ PAZARLAR ÝZMÝR....UNUTMAYIN HAYAT PAYLAÞINCA GÜZEL...,1
Bu türkcell var ya beni deli edecek deli deli deli.,2
"20 tl yükledim,turkcell'den 13 tane mesaj geldi....",2
yaklasik 1 milyon,3
"Bir cihaz kaydini 1,5 saatte yaparak cumle bekleyenleri cileden cikaran Kanyon #Turkcell i yilin musteri hizmetleri merkezi ilan ediyrm",2
"4 saat içerisinde beyaz eþyalar, bosch servisi, baza, süperonline gelip geçince; ortalýk savaþ alanýna döndü doðal olarak :|",3
#turkcell sayende 3 liraya film izliyoruz... Gecen ay odedigim faturaya sayarsin artik... ( Marmara Forum Cinebonus),3
beyaz 64 var mi?,3
Boþu boþuna tl mi yiyo bu turkcell ! Fck,2
turkcellin rezil oldugu yil,2
bide 4 çeker diyoya çekmiyo.výn almstm çekmedi geride almadilar.zorla iade ettm:-S,2
Bu aciklamalarla insanlarin Turkcell`den kactigini mi gormezden geliyorsunuz?,2
günlükleri Vol. (bilmem kaç) Sevgili Turkcell bu sana son mektubum.,2
paranla galaxy note alamýyorsun bu ne iþtir arkadaþ! illa turkcell faturalý hattým mý olmak zorunda!?,2
O kadar operator degistirdim turkcell kadar kazik atanini gormedim arkadas smsim bitmemis smsin btti diyip hattimdan 12tl yi de aldi esekler,2
Oðlum Turkcell günlük 156 SMS kime yeter lan el insaf. Býrakta istediðimiz gibi kullanalým þunu. #turkcell,2
sikayetvar.com sitesine ayrýca þikayetinizi yapýn site artýk firmalarla çalýþýyor ayrýca Turkcell bu sitenin þikayetini ayrýca,2
kafama takilan bir konu gsm operatorlerinin mobil site destegi ve uygulamalarinin olmamasi. turkcell istisna tabi,1
superonline duymadý ama saðýr sultan duymuþ olabilir :)),2
"ayda 6tl cok, fiyati indirin, ayda 3tl yeterli, fiyati indirin abone olalim.",2
"O mesajdan sonra sadece Zamundayý seviyorum, fuck superonline.",2
býrakýlan sesli mesajlarý dinlemeyi bile artýk ücretli yapmýþsýnýz el insaf ya herþeyi paraya dönüþtürdünüz nedir bukadar,2
"""Aradiginiz kisi baska bi görüsme yapiyor."" diyecegine kiminle görüsüyor onu söylesen gözüme girebilirdin tcell!",2
O deðil de yeniden para yüklemeden Genç Avantaja mý geçsem? Ama Turkcell kalitesi... Ama internet... Of aman ya!,1
Kim diyor disardayim diye .Haala calisiyoruz =) ( Turkcell Maltepe Plus),3
beni bir sen anladýn sende yanlýþ anladýn be turkcell her gün ayný mesajý yollaman için mi ben o kampanyaya üye oldum.,2
merhaba ben dünyanýn tek sýradýþý yüzüne sahib erkeði olarak turkcell kullanýyorum turkcellin kalitesi duyarlýlýðý tartýþýlmaz,1
Bugun turkcell bana kiyak geciyor :),1
Ödemeli aramlari cevaplayip haberiniz olmadan odediginiz 29krþ larin  talep ettiginizde geri odenecegini biliyor muydunuz? Bilin.,2
Koskoca tekirdað'da turkcell þubesi bulamadým vay be,2
Sayýn Süreyya Ciliv'in teþekkür konuþmasýndaki mesajý netti; 'Siz deðerli öðrenciler içinizdeki potansiyeli keþfedin ve kendinize güvenin!',1
Oyy turkcel sebekeneeee,2
A.A ile  hattdan cep telefonuma gelen gereksiz ve saçma mesajlarýnýzý istemiyorum. Kime sordunuz da gönderiyorsunuz?,2
"iPhone 4S Turkcell, Vodafone ve Avea’da satýþa çýktý: Apple’ýn en yeni akýllý telefonu iPhone 4S, cep telefonu o...",3
Bu fýrsatý kaçýrma genç!  via,3
"Demokrasi iktidar tramvayýdýr, Ancak Ýktidarýn kendisi havuzlu villa, 4 çeker cip, ballý börektir.",3
"""hayat paylaþýnca güzel"" sloganýný hayata geçirmek isteyen çocuk facebook da paylaþým rekoru kýrdý",1
Ýnovasyonda büyük ödül Turkcell'in,1
Sarj aletimi is yerinde unuttum. Avea'min sms'i bitti. Yedek hat Turkcell'e attirdigim 20 tl de gelmedi. Ortada kalakaldim.,2
"""Bu Kutuda Ne Var?"" tahmin etmeye hazýr mýsýn? Çok yakýnda sana soracaðýz, belki de o hediyeyi kazanan sen olacaksýn!:)",3
ey türkcell   cepten  internet  istiyoruz  en kýsa  zamanda  çözünüz,2
superonline internet mi ?,3
Kimbilir kaç para olacak ki ayaðýna kadar getiriyorlar ama Turkcell TÝM'de saatlerce bekletiyorlar bir iþlem için..,2
"2006- Dünya Kupasý, Berbat notlar, Aþk ve Lise, Alsancak, Ankara, Soðuk.. 2007- Büyük kameraman, Tarih ve siyaset, Turkcell, Düðün, Seçimler",3
benimde cok yedi turksel ya iptal ettigim servisleri tekrar actilar filan simdi vodafonedayim gayet iyi hic sorun yasamadim,2
Ýnternet paketimin bitmesine raðmen 2 hafta bedavadan kullanmýþtým.Oparatör yeni uyandý duruma.Hep senmi yolucan bizi Turkcell :D,2
RE:  Türkcell Výnn Çeker Hacýlar .. :),1
Medyaplus - Turkcell Superonline'dan 1 milyon eve fiber internet,1
ya o telefonun þarjý bitik nerde olduðunu bile bilmiyorum önemliyse turkcell i kaydet whatsapp tan gönder,3
"bugün turkcell'de ""hayat paylaþýnca güzel"" aný yaþadým",1
Hayat Paylaþýnca Güzel ;),1
"Çekmiyormuþ diyerek çekmediðini dedikodusunu tasdik eden Vodafone, kalitelisi pahalýymýþ diyerek bu kez de Turkcell'e kaliteli dedi sanki?",1
Capital 500listesindeki HerBasarili 10 $irketten9'u bizimle çalisiyor TURKCELL...,1
Bur sure stabil devam ettin ama su an sacmaliyorsun Turkcell Superonline,2
"Deðerli süperonline 2.10 tarihinde hem telefonumu hem hattýmý superonline'a geçirdim. bana herhangi bir iþlem yapmam gerekmediðini,",3
nee van turkcell,3
"""Kýzlar yurdunu basmýþ serserilere karþý seksi bir bayaný yönlendiriyorsun."" Turkcell sen neyin kafasýný yaþýyorsun? Oyununa 1 sana 2.",2
"capstone'u boþverip superonline'a baþladým þuan,,ah ahh",1
Bu vodafone'la avea'nýn turkcell'e bok atma reklamlarý da bakalým nereye kadar,3
superonline tabiki :),1
sayýn ciliv bulunuduðum yerde turkcell çekmiyor. reyhanlý hataydan yazýyorum. telefonla konuþmak bizim için eziyet oluyor.,2
çekirge ssk civarlarýnda türkcell s.çmýþ durumda  tek diþ hat var be utanç verici bir durum utandým ben þahsen:,2
"tarife net, bültende gelen link açýlmýyor ama  web sitesinde cihaz bedeli diye 24 aylýk ekstra bir ücret daha var:)!!!",3
bu saatte gelen mesaj elbet turkcell'den gelir... senden gelecek deðil ya...,2
Ne Turkcell'i ya ? haftaya kurtuluyorum inþallah :D,2
5326833306 nolu hattýmýn ipone4 s kontratlý tekliften yararlanmak istiyorum teþekkürler,1
#2012hayallerimin ilk sýrasýnda aylardýr söyleyip durduðum gibi numaramý Turkcell'e taþýmak var. Hayal olarak kalmasýn ama. Nioððlur.,1
"Iphone 4s, 4s uygulamasi ""Seven S.. S.. Sevilir"" yakinda butun TURKCELL'lerde.",2
"Bravo   12. Katta bile cekmiyosun ya, pessss",2
"Ofis bombos, bir tek kopuklu kahvem ve ben variz.. Calismaya devam :)   Turkcell Tepebaþý Plaza",3
turkcell kýmý ne zaman mutlu etmýský ? Anca devlet gýbý para kessýn mýlletten,2
Benim bildiðim bi konuda en fazla 1 tane þampiyon olur ama bu Turkcell Avea ve Vodafone'dan hepsi numara taþýmada þampiyon,2
"“ Turkcell ""kim aramýþ"" diye göstereceðine ""kimler aramak istemiþ"" diye gösterseydi herþey bambaþka olabilirdi.”",3
"Madem turkcell hediye 700 sms verdi, idareli kullanmak lazim ",2
"saatte baktým 18.18, biri beni düþünüyor dedim, anýnda mesaj geldi, turkcell, turkcell peþimi býrak artýk  :)",2
Blackberry kullaniyorum ama turkcell i phone paketim var. isn't it ironic?,3
:) :) dizileri iyi gibi duruo ( sanki hepsini izlicemde ) hahhahhahahahahahaha sen ole diosan oledir selocan :) :),3
TAVSÝYE: iphonedan kullanilan online islemlerin icinde superonline bilgilerimizde olsa daha faydali olur.,1
kaç para olacak ki?,3
"reklam icerikli aramalari istemiyorum. Ozelliklede pepsi, sigortalar, bankalar... Engelleyemez miyiz?",2
"30TL yükledim diye dünya kadar mesaj gönderen Turkcell 100 TL yüklesem kapýma dayanacak, 200 TL yüklesem nikah kýyacak herhalde...",3
selocan benim kankigillerden Selin:),3
"""sen vodafone gibi aný yaþarken ben seni turkcell gibi her yerde çekemem."" ;)""",3
Doðum Gününüz kutlu olsun.(Ýnsan birgün daha bekler).Turksel öyle bir hata yapmaz olmazsa biz göndeririz relax..,3
#turkcell bi kendine gelsen artik! Normalde 3g ceken yerlerde neden edge?,2
"Oyle 4 ceker diye reklamlarla olmuyor. Gercekten 4 cekse keske... Internet paketi zaten ayri bir sorun, keske duzgun calisabilse",2
ya saolsun türkcell internet yerlerde sürünüyo bende yarýmyamalak bi sevinç yaþýyorum :)),2
"cok ayip, Fenercell dururken Turkcell de neyin nesi :)",2
"Charlene Li: ""Dünya o kadar hýzlý deðiþiyor ki daima bir adým arkasýnda kalýyoruz. Artýk kontrol sizde deðil..."" #PazarlamaKonferansi",3
"aynen, acaba baþka birinden mi diye ümitleniyorum ama yok yine turkcell",3
Vakit bulamama ihtimaline karþýn Turkcell'den de istedim. Yarýn gelecek. Hýzlý okutup detaylarý kaçýrmaný istemem :),1
#turkcell kampanyalarý içerisndeki süpriz fatura #hayattansogutanseyler den biri olarak deðerlendiriyorum konudan müzdarip varmý?,2
sadece doðduðun gün doðum günü kutlamak çok saçma bence. her gün kutlanabilir. hoþuma da gider hani. türksel kötü oldu.,2
superonline tavsiye edebilirim bilmiyorum ne kullanýyorsun ama...,1
Bostancý Gösteri Merkezi'ne dogru yoldayiz! Konserimiz de tum sarkilar Turkcell Global Bilgi icin..Sevgiler..,1
bu hýza alýþtýk biz... 2 haftadýr 1 adsl baþvurusunu alamayan #ttnet 'den kurtulmanýn yolu var mý? superonline bize fiber çeksene!,1
HAN DERLERYA HAYAT PAYLAÞINCA GÜZEL BEN HAYAT SEVÝNCE GÜZEL..,1
Ýzmir Arena inanilmazdin..Tum Turkcell ekibine sonsuz tesekkurler:),1
